ParticipantNumber;Task;SdfState;Repetition;TimeStamp;NumHits;TimeToCompleteTask;InstanteneousVelocityMag;InstanteneousVelocityX;InstanteneousVelocityY;InstanteneousVelocityZ;ClosestDistance
6;easyWire;0;1;15,17072;64;58,68161;0,5632849;0,02874341;0,5096313;0,238201;0,941354
6;easyWire;0;1;15,18478;64;58,68161;0,1900212;-0,0299938;0,1857635;-0,02646446;0,9387803
6;easyWire;0;1;15,19889;64;58,68161;0,1900212;-0,0299938;0,1857635;-0,02646446;0,9389127
6;easyWire;0;1;15,21264;64;58,68161;0,3471954;0,02024584;0,2992868;0,1748204;0,9364159
6;easyWire;0;1;15,22651;64;58,68161;0,1228966;0,03927685;0,005497783;0,1163214;0,9342134
6;easyWire;0;1;15,24063;64;58,68161;0,09213804;0,02787225;0,02113283;0,0852406;0,9326093
6;easyWire;0;1;15,25476;64;58,68161;0,09213804;0,02787225;0,02113283;0,0852406;0,931401
6;easyWire;0;1;15,26836;64;58,68161;0,5946871;0,1134058;0,3762394;0,4463583;0,9270332
6;easyWire;0;1;15,28232;64;58,68161;0,2185983;0,0739485;-0,00892505;0,2055168;0,921122
6;easyWire;0;1;15,2964;64;58,68161;0,2185983;0,0739485;-0,00892505;0,2055168;0,9182903
6;easyWire;0;1;15,31001;64;58,68161;0,2105101;-0,03772881;0,2051882;-0,02808571;0,9176853
6;easyWire;0;1;15,32379;64;58,68161;0,3225097;0,01198575;0,2859389;0,1486868;0,917177
6;easyWire;0;1;15,33794;64;58,68161;0,3225097;0,01198575;0,2859389;0,1486868;0,9148272
6;easyWire;0;1;15,35201;64;58,68161;0,2903563;0,07267948;0,1013899;0,2621919;0,911308
6;easyWire;0;1;15,36594;64;58,68161;0,228633;0,07121321;0,02198592;0,2161443;0,9079265
6;easyWire;0;1;15,37978;64;58,68161;0,228633;0,07121321;0,02198592;0,2161443;0,9049708
6;easyWire;0;1;15,39401;64;58,68161;0,3852973;0,1070701;0,0691412;0,3636062;0,8998595
6;easyWire;0;1;15,40789;64;58,68161;0,09812601;-0,008629076;0,0975566;0,006079674;0,8975995
6;easyWire;0;1;15,42175;64;58,68161;0,1714186;0,0003099442;0,1539407;0,07540882;0,8973083
6;easyWire;0;1;15,43564;64;58,68161;0,1714186;0,0003099442;0,1539407;0,07540882;0,8961477
6;easyWire;0;1;15,44918;64;58,68161;0,2701952;0,04716627;0,1315646;0,2312392;0,8936251
6;easyWire;0;1;15,46323;64;58,68161;0,1293126;0,03222302;0,03762525;0,1194477;0,8906956
6;easyWire;0;1;15,47686;64;58,68161;0,1293126;0,03222302;0,03762525;0,1194477;0,8890681
6;easyWire;0;1;15,49091;64;58,68161;0,4121141;0,07493496;0,2075128;0,3480822;0,8848383
6;easyWire;0;1;15,50512;64;58,68161;0,2346358;0,05316027;0,0976542;0,2066195;0,8805693
6;easyWire;0;1;15,51879;64;58,68161;0,2346358;0,05316027;0,0976542;0,2066195;0,8777322
6;easyWire;0;1;15,53289;64;58,68161;0,3771556;0,09905566;0,06265994;0,3584802;0,8729072
6;easyWire;0;1;15,54682;64;58,68161;0,04214336;-0,007939339;0,03651381;-0,01948774;0,8705047
6;easyWire;0;1;15,56099;64;58,68161;0,1187654;0,0006377697;0,1053616;0,05480647;0,8706774
6;easyWire;0;1;15,57469;64;58,68161;0,1187654;0,0006377697;0,1053616;0,05480647;0,8698716
6;easyWire;0;1;15,58868;64;58,68161;0,379275;0,07723738;0,1427064;0,3428102;0,8665826
6;easyWire;0;1;15,60252;64;58,68161;0,1215347;0,03919248;-0,01752712;0,1136988;0,8624244
6;easyWire;0;1;15,61666;64;58,68161;0,1215347;0,03919248;-0,01752712;0,1136988;0,8608617
6;easyWire;0;1;15,63032;64;58,68161;0,1286564;0,02875496;0,02395492;0,1230925;0,8592343
6;easyWire;0;1;15,64436;64;58,68161;0,1905777;0,05333126;-0,02170075;0,181672;0,8572809
6;easyWire;0;1;15,6579;64;58,68161;0,1905777;0,05333126;-0,02170075;0,181672;0,8548828
6;easyWire;0;1;15,67189;64;58,68161;0,515208;0,1485076;-0,173776;0,4617214;0,84922
6;easyWire;0;1;15,68588;64;58,68161;0,1440458;0,04351661;-0,03434364;0,1329511;0,8448663
6;easyWire;0;1;15,7001;64;58,68161;0,05349842;0,001439825;0,04394576;0,03047585;0,8430524
6;easyWire;0;1;15,71435;64;58,68161;0,05349842;0,001439825;0,04394576;0,03047585;0,8425952
6;easyWire;0;1;15,72831;64;58,68161;0,1409908;-0,009083748;0,1325898;0,04707277;0,8419756
6;easyWire;0;1;15,74179;64;58,68161;0,2245989;0,0448525;0,07361556;0,2073973;0,8409912
6;easyWire;0;1;15,75619;64;58,68161;0,2245989;0,0448525;0,07361556;0,2073973;0,8380201
6;easyWire;0;1;15,76972;64;58,68161;0,5257877;0,1405828;-0,04126681;0,5049616;0,8324506
6;easyWire;0;1;15,7835;64;58,68161;0,08182577;0,01030322;0,06000195;0,05467236;0,8271971
6;easyWire;0;1;15,79735;64;58,68161;0,08182577;0,01030322;0,06000195;0,05467236;0,8264222
6;easyWire;0;1;15,81117;64;58,68161;0,3424068;-0,002777576;0,3010295;0,1631439;0,8243448
6;easyWire;0;1;15,82527;64;58,68161;0,2081301;0,007781573;0,1718957;0,1170874;0,8221903
6;easyWire;0;1;15,83922;64;58,68161;0,2081301;0,007781573;0,1718957;0,1170874;0,8205087
6;easyWire;0;1;15,85302;64;58,68161;0,2808977;0,03047232;0,1764742;0,2164066;0,8175848
6;easyWire;0;1;15,86728;64;58,68161;0,1547962;0,02774224;0,0619499;0,1391202;0,8150647
6;easyWire;0;1;15,88116;64;58,68161;0,2130449;0,03701672;0,08805655;0,1904309;0,8130941
6;easyWire;0;1;15,89491;64;58,68161;0,2130449;0,03701672;0,08805655;0,1904309;0,8105022
6;easyWire;0;1;15,90883;64;58,68161;0,2751338;0,03457181;0,151745;0,2268851;0,8075472
6;easyWire;0;1;15,92299;64;58,68161;0,0624544;0,01672581;-0,004625274;0,05999506;0,8048546
