ParticipantNumber;Task;SdfState;Repetition;TimeStamp;NumHits;TimeToCompleteTask;InstanteneousVelocityMag;InstanteneousVelocityX;InstanteneousVelocityY;InstanteneousVelocityZ;ClosestDistance
11;easyWire;0;2;6,38967;35;32,52204;0,09030519;-0,03424492;0,06439462;-0,05325079;0,9484242
11;easyWire;0;2;6,403816;35;32,52204;0,2055615;0,04818998;0,1480069;0,1342654;0,9483404
11;easyWire;0;2;6,417802;35;32,52204;0,2055615;0,04818998;0,1480069;0,1342654;0,9463096
11;easyWire;0;2;6,431649;35;32,52204;0,3218201;0,02759192;0,3050275;0,09881854;0,9445453
11;easyWire;0;2;6,445637;35;32,52204;0,2691855;0,09740349;0,1164846;0,2222717;0,9422385
11;easyWire;0;2;6,459681;35;32,52204;0,2691855;0,09740349;0,1164846;0,2222717;0,9390569
11;easyWire;0;2;6,473364;35;32,52204;0,2262433;0,0593422;-0,1569971;0,1517117;0,9371761
11;easyWire;0;2;6,487374;35;32,52204;0,07729595;-0,01354553;0,07559545;-0,008746982;0,9362918
11;easyWire;0;2;6,501374;35;32,52204;0,09314453;-0,01464989;0,09136125;-0,01069605;0,9363149
11;easyWire;0;2;6,515181;35;32,52204;0,09314453;-0,01464989;0,09136125;-0,01069605;0,9363474
11;easyWire;0;2;6,529011;35;32,52204;0,2789804;0,04707575;0,2321158;0,1474321;0,9348861
11;easyWire;0;2;6,542937;35;32,52204;0,1582941;0,05026869;0,08551143;0,1233608;0,9327225
11;easyWire;0;2;6,557402;35;32,52204;0,1582941;0,05026869;0,08551143;0,1233608;0,9308859
11;easyWire;0;2;6,57083;35;32,52204;0,1847652;0,01073256;0,1766246;0,05316734;0,9298458
11;easyWire;0;2;6,584671;35;32,52204;0,03703437;-0,004364364;0,03576428;0,008568168;0,9291945
11;easyWire;0;2;6,598599;35;32,52204;0,03703437;-0,004364364;0,03576428;0,008568168;0,9290368
11;easyWire;0;2;6,612794;35;32,52204;0,4194393;0,14745;-0,02799965;0,3916681;0,9241461
11;easyWire;0;2;6,626491;35;32,52204;0,1232901;0,02913363;0,08892156;0,08027852;0,9208519
11;easyWire;0;2;6,640454;35;32,52204;0,111565;-0,04068501;0,06997399;-0,07677972;0,9197383
11;easyWire;0;2;6,654294;35;32,52204;0,111565;-0,04068501;0,06997399;-0,07677972;0,9207
11;easyWire;0;2;6,668366;35;32,52204;0,3863932;0,05926527;0,3205582;0,2074361;0,9192125
11;easyWire;0;2;6,682279;35;32,52204;0,1760841;0,01728367;0,1624985;0,06558299;0,9164343
11;easyWire;0;2;6,696282;35;32,52204;0,1760841;0,01728367;0,1624985;0,06558299;0,9153939
11;easyWire;0;2;6,710479;35;32,52204;0,2368157;0,01830067;0,2143398;0,0990212;0,9139644
11;easyWire;0;2;6,724014;35;32,52204;0,2374563;0,08400902;-0,07600095;0,2086908;0,9121202
11;easyWire;0;2;6,738227;35;32,52204;0,2374563;0,08400902;-0,07600095;0,2086908;0,9092888
11;easyWire;0;2;6,751983;35;32,52204;0,1069238;0,0206314;0,07161591;0,07666945;0,9079865
11;easyWire;0;2;6,76567;35;32,52204;0,1234451;-0,01217946;0,1227805;0,003910065;0,9072878
11;easyWire;0;2;6,779734;35;32,52204;0,1234451;-0,01217946;0,1227805;0,003910065;0,9071316
11;easyWire;0;2;6,793954;35;32,52204;0,3678775;-0,03659166;0,366053;-0,0003516674;0,906853
11;easyWire;0;2;6,807988;35;32,52204;0,1049636;0,02677813;0,06455686;0,07831156;0,9061081
11;easyWire;0;2;6,821448;35;32,52204;0,0604832;-0,001305528;-0,05703643;0,02008379;0,9051291
11;easyWire;0;2;6,83554;35;32,52204;0,0604832;-0,001305528;-0,05703643;0,02008379;0,9048799
11;easyWire;0;2;6,849453;35;32,52204;0,1958113;0,04938841;-0,08563157;0,1690269;0,9032689
11;easyWire;0;2;6,863377;35;32,52204;0,06212491;-0,007078797;0,06154291;-0,004675984;0,9015656
11;easyWire;0;2;6,877316;35;32,52204;0,06212491;-0,007078797;0,06154291;-0,004675984;0,901586
11;easyWire;0;2;6,891137;35;32,52204;0,03556007;-0,01584291;0,03146119;0,004869699;0,9015102
11;easyWire;0;2;6,904985;35;32,52204;0,1496263;0,04714727;-0,03527664;0,1375526;0,9007841
11;easyWire;0;2;6,919183;35;32,52204;0,1496263;0,04714727;-0,03527664;0,1375526;0,8988974
11;easyWire;0;2;6,933012;35;32,52204;0,4162209;0,1343887;0,1725582;0,3541231;0,8942009
11;easyWire;0;2;6,946707;35;32,52204;0,01137452;-0,008549169;0,00354927;-0,006610155;0,8917798
11;easyWire;0;2;6,960914;35;32,52204;0,1536338;-0,009887479;-0,1532657;-0,003898144;0,8918669
11;easyWire;0;2;6,974653;35;32,52204;0,1536338;-0,009887479;-0,1532657;-0,003898144;0,892001
11;easyWire;0;2;6,988394;35;32,52204;0,377343;0,05959142;-0,325834;0,1807451;0,8906985
11;easyWire;0;2;7,002544;35;32,52204;0,09481978;-0,04076138;0,03711805;-0,07714629;0,8890228
11;easyWire;0;2;7,016451;35;32,52204;0,09481978;-0,04076138;0,03711805;-0,07714629;0,8900298
11;easyWire;0;2;7,030251;35;32,52204;0,1479512;-0,02901554;0,1449032;0,007122755;0,8901206
11;easyWire;0;2;7,044572;35;32,52204;0,07502846;-0,02839845;0,06367713;-0,02771318;0,8900693
11;easyWire;0;2;7,058228;35;32,52204;0,07502846;-0,02839845;0,06367713;-0,02771318;0,890382
11;easyWire;0;2;7,071993;35;32,52204;0,06729513;-0,02310276;0,06300658;0,00500679;0,8903111
11;easyWire;0;2;7,086155;35;32,52204;0,2567544;0,07070117;-0,08353926;0,2322614;0,8888611
11;easyWire;0;2;7,099828;35;32,52204;0,2567544;0,07070117;-0,08353926;0,2322614;0,8858067
11;easyWire;0;2;7,113943;35;32,52204;0,1310776;-0,04442632;-0,121711;-0,01985133;0,886086
11;easyWire;0;2;7,128148;35;32,52204;0,07063603;-0,03847182;-0,03353506;-0,04883409;0,8866159
11;easyWire;0;2;7,141812;35;32,52204;0,05866912;-0,03735218;-0,001787208;-0,04520714;0,8872625
11;easyWire;0;2;7,155654;35;32,52204;0,05866912;-0,03735218;-0,001787208;-0,04520714;0,8878565
11;easyWire;0;2;7,169587;35;32,52204;0,5689361;-0,1027226;0,5528163;-0,0867784;0,8885642
11;easyWire;0;2;7,183618;35;32,52204;0,1588633;-0,06587002;0,1169914;-0,08492172;0,8894442
11;easyWire;0;2;7,197481;35;32,52204;0,1588633;-0,06587002;0,1169914;-0,08492172;0,8905083
11;easyWire;0;2;7,211477;35;32,52204;0,1973503;-0,03279131;0,193532;0,02042651;0,8903718
11;easyWire;0;2;7,225119;35;32,52204;0,2927552;0,04023034;0,2312576;0,1749486;0,889212
11;easyWire;0;2;7,239107;35;32,52204;0,2927552;0,04023034;0,2312576;0,1749486;0,8867113
11;easyWire;0;2;7,253936;35;32,52204;0,07357492;-0,04346222;0,05866075;0,009122491;0,8863707
