ParticipantNumber;Task;SdfState;Repetition;TimeStamp;NumHits;TimeToCompleteTask;InstanteneousVelocityMag;InstanteneousVelocityX;InstanteneousVelocityY;InstanteneousVelocityZ;ClosestDistance
13;torus;0;2;3,086955;10;17,87777;0,5032272;0,14413;0,2688624;-0,4002213;0,7413246
13;torus;0;2;3,100903;10;17,87777;0,2970178;0,03149509;0,2069622;-0,2106994;0,7367325
13;torus;0;2;3,115028;10;17,87777;0,2970178;0,03149509;0,2069622;-0,2106994;0,7367325
13;torus;0;2;3,128981;10;17,87777;0,3702928;-0,1931369;0,3134049;0,03990233;0,7368358
13;torus;0;2;3,142653;10;17,87777;0,2033322;-0,07101297;0,1899995;-0,01418889;0,7361889
13;torus;0;2;3,156936;10;17,87777;0,2033322;-0,07101297;0,1899995;-0,01418889;0,7361889
13;torus;0;2;3,170868;10;17,87777;0,3391294;-0,1450539;0,3052741;-0,02785325;0,7350838
13;torus;0;2;3,184535;10;17,87777;0,2753161;0,04963279;0,1286261;-0,2383083;0,7301558
13;torus;0;2;3,198476;10;17,87777;0,2753161;0,04963279;0,1286261;-0,2383083;0,7301558
13;torus;0;2;3,212505;10;17,87777;0,8156193;0,230068;0,3554061;-0,69713;0,7158566
13;torus;0;2;3,226665;10;17,87777;0,4389775;0,1365602;0,07640719;-0,4101396;0,7076504
13;torus;0;2;3,240498;10;17,87777;0,231228;0,03346801;0,1286365;-0,189206;0,7037351
13;torus;0;2;3,254525;10;17,87777;0,231228;0,03346801;0,1286365;-0,189206;0,7037351
13;torus;0;2;3,268159;10;17,87777;0,4606695;-0,2077758;0,3661141;0,187099;0,7069488
13;torus;0;2;3,282127;10;17,87777;0,1323843;-0,1132667;0,007067621;0,06816387;0,7082506
13;torus;0;2;3,296075;10;17,87777;0,1323843;-0,1132667;0,007067621;0,06816387;0,7082506
13;torus;0;2;3,310197;10;17,87777;0,1710335;-0,03684163;0,1118906;-0,1239985;0,7056504
13;torus;0;2;3,324121;10;17,87777;0,2286101;0,04936457;0,1113579;-0,1934558;0,7017062
13;torus;0;2;3,338203;10;17,87777;0,2286101;0,04936457;0,1113579;-0,1934558;0,7017062
13;torus;0;2;3,351593;10;17,87777;0,6241091;0,04833341;0,534679;-0,3182679;0,6949789
13;torus;0;2;3,365718;10;17,87777;0,09133848;-0,04601479;0,06233603;0,04836917;0,6958895
13;torus;0;2;3,379538;10;17,87777;0,09133848;-0,04601479;0,06233603;0,04836917;0,6958895
13;torus;0;2;3,393778;10;17,87777;0,2616451;-0,1444817;0,08611605;0,2004176;0,699793
13;torus;0;2;3,407681;10;17,87777;0,1110495;-0,0392735;0,1018792;0,02025366;0,7001373
13;torus;0;2;3,421987;10;17,87777;0,05025894;0,004827976;0,04172996;-0,02759099;0,6995697
13;torus;0;2;3,435567;10;17,87777;0,05025894;0,004827976;0,04172996;-0,02759099;0,6995697
13;torus;0;2;3,449471;10;17,87777;0,1349965;0,03072023;0,06899983;-0,1118898;0,6973166
13;torus;0;2;3,463418;10;17,87777;0,116463;0,03148317;0,05806908;-0,09591877;0,6953899
13;torus;0;2;3,477139;10;17,87777;0,116463;0,03148317;0,05806908;-0,09591877;0,6953899
13;torus;0;2;3,491399;10;17,87777;0,08312085;0,01023412;0,0576213;-0,05902648;0,6941952
13;torus;0;2;3,505034;10;17,87777;0,1091846;-0,04369617;0,07477924;0,06648302;0,695487
13;torus;0;2;3,519629;10;17,87777;0,1091846;-0,04369617;0,07477924;0,06648302;0,695487
13;torus;0;2;3,533179;10;17,87777;0,1862547;-0,08864999;-0,08507147;0,1399815;0,6982807
13;torus;0;2;3,547023;10;17,87777;0,04040832;0,003421307;0,04017279;-0,00269711;0,6982158
13;torus;0;2;3,561117;10;17,87777;0,03147791;0,01306534;0,01361519;-0,02519488;0,6977123
13;torus;0;2;3,57491;10;17,87777;0,03147791;0,01306534;0,01361519;-0,02519488;0,6977123
13;torus;0;2;3,588909;10;17,87777;0,1745358;0,05877614;-0,08507445;-0,1406074;0,6949463
13;torus;0;2;3,602805;10;17,87777;0,01356913;-0,003230572;0,01139268;0,006625056;0,695074
13;torus;0;2;3,616979;10;17,87777;0,01356913;-0,003230572;0,01139268;0,006625056;0,695074
13;torus;0;2;3,63068;10;17,87777;0,1834929;-0,03328919;0,1569025;0,08912385;0,6968013
13;torus;0;2;3,644622;10;17,87777;0,1019897;-0,01805425;0,08084998;0,0594914;0,6979682
13;torus;0;2;3,658376;10;17,87777;0,1019897;-0,01805425;0,08084998;0,0594914;0,6979682
13;torus;0;2;3,672717;10;17,87777;0,04008504;0,008398294;-0,0391826;0,001001358;0,6979986
13;torus;0;2;3,686087;10;17,87777;0,01981423;-0,003200769;-0,01710057;0,009483099;0,6981909
13;torus;0;2;3,700299;10;17,87777;0,04818087;-0,0023067;-0,04777163;0,005826354;0,6983176
