ParticipantNumber;Task;SdfState;Repetition;TimeStamp;NumHits;TimeToCompleteTask;InstanteneousVelocityMag;InstanteneousVelocityX;InstanteneousVelocityY;InstanteneousVelocityZ;ClosestDistance
6;torus;1;3;5,110187;5;14,25679;0,7450188;0,08072853;0,6648529;-0,3263533;0,2496882
6;torus;1;3;5,1245;5;14,25679;0,2034734;-0,07953048;0,1863346;0,01886189;0,2606591
6;torus;1;3;5,138186;5;14,25679;0,2034734;-0,07953048;0,1863346;0,01886189;0,2606591
6;torus;1;3;5,152009;5;14,25679;0,2662636;-0,1958907;0,1605414;0,08215606;0,2646033
6;torus;1;3;5,165935;5;14,25679;0,1592838;-0,01323223;0,1358021;-0,08218288;0,2520343
6;torus;1;3;5,1799;5;14,25679;0,1592838;-0,01323223;0,1358021;-0,08218288;0,2642037
6;torus;1;3;5,193881;5;14,25679;0,1950121;-0,1071393;0,1601841;-0,02986491;0,2656278
6;torus;1;3;5,207983;5;14,25679;0,1640157;0,001245737;0,1324892;-0,09667575;0,2614523
6;torus;1;3;5,222008;5;14,25679;0,07674791;0,005525351;-0,02168827;-0,07341206;0,2600057
6;torus;1;3;5,235764;5;14,25679;0,07674791;0,005525351;-0,02168827;-0,07341206;0,250211
6;torus;1;3;5,249422;5;14,25679;0,2127888;0,002390146;0,1373645;-0,1624942;0,2486542
6;torus;1;3;5,263591;5;14,25679;0,2939717;0,02949238;0,2503783;-0,1511961;0,2548539
6;torus;1;3;5,277524;5;14,25679;0,2939717;0,02949238;0,2503783;-0,1511961;0,25364
6;torus;1;3;5,291352;5;14,25679;0,5069167;0,1015604;0,3503501;-0,3520012;0,2492877
6;torus;1;3;5,305471;5;14,25679;0,1155203;-0,08097291;-0,002798438;0,08234382;0,2484043
6;torus;1;3;5,319167;5;14,25679;0,1155203;-0,08097291;-0,002798438;0,08234382;0,2484043
6;torus;1;3;5,333216;5;14,25679;0,05827306;-0,03877878;0,03364533;-0,02756715;0,2478641
6;torus;1;3;5,347351;5;14,25679;0,2081112;0,02718568;0,149728;-0,1419604;0,2439833
6;torus;1;3;5,360919;5;14,25679;0,1500824;0,01658201;0,1022983;-0,1085579;0,2411516
6;torus;1;3;5,37464;5;14,25679;0,1500824;0,01658201;0,1022983;-0,1085579;0,2430484
6;torus;1;3;5,388988;5;14,25679;0,08788548;-0,0477016;-0,05409047;-0,05022585;0,2421875
6;torus;1;3;5,402495;5;14,25679;0,1480155;0,01420379;-0,04491806;-0,1403183;0,2402542
6;torus;1;3;5,416473;5;14,25679;0,1480155;0,01420379;-0,04491806;-0,1403183;0,2402542
6;torus;1;3;5,430758;5;14,25679;0,1596045;0,01541972;0,01665801;-0,1579821;0,2376122
6;torus;1;3;5,444623;5;14,25679;0,07936689;-0,009226799;0,0334695;-0,0713706;0,2346284
6;torus;1;3;5,458485;5;14,25679;0,07936689;-0,009226799;0,0334695;-0,0713706;0,2346284
6;torus;1;3;5,472518;5;14,25679;0,1702563;-0,02501607;-0,05465373;-0,1592934;0,2326051
6;torus;1;3;5,486172;5;14,25679;0,07847245;0,009208918;0,016113;-0,07624626;0,2323273
6;torus;1;3;5,500061;5;14,25679;0,1297828;0,02014183;-0,00346528;-0,1281635;0,2304035
6;torus;1;3;5,514482;5;14,25679;0,1297828;0,02014183;-0,00346528;-0,1281635;0,2289023
6;torus;1;3;5,527966;5;14,25679;0,1984154;0,0002664387;-0,1032113;-0,1694581;0,2270641
6;torus;1;3;5,54208;5;14,25679;0,1491145;-0,06186522;-0,1356727;0,0008758243;0,2287673
6;torus;1;3;5,555934;5;14,25679;0,1491145;-0,06186522;-0,1356727;0,0008758243;0,2287673
6;torus;1;3;5,570189;5;14,25679;0,2745684;0,05566405;-0,09553902;-0,2513197;0,2252696
6;torus;1;3;5,584058;5;14,25679;0,1379158;0,03789164;0,007771154;-0,1323806;0,2228186
6;torus;1;3;5,597995;5;14,25679;0,1379158;0,03789164;0,007771154;-0,1323806;0,2228186
6;torus;1;3;5,611617;5;14,25679;0,1305175;0,002370326;-0,05615328;-0,1177965;0,2214862
6;torus;1;3;5,625546;5;14,25679;0,143343;0,01752548;-0,06450362;-0,1268044;0,2186274
6;torus;1;3;5,6393;5;14,25679;0,143343;0,01752548;-0,06450362;-0,1268044;0,2186274
6;torus;1;3;5,653544;5;14,25679;0,2849346;0,05850273;-0,07410114;-0,2688386;0,2132331
6;torus;1;3;5,66737;5;14,25679;0,1040636;0,01132146;-0,03157857;-0,09850815;0,2113204
6;torus;1;3;5,681379;5;14,25679;0,08005185;0,008999887;-0,02121961;-0,07666179;0,209859
6;torus;1;3;5,695059;5;14,25679;0,08005185;0,008999887;-0,02121961;-0,07666179;0,209859
6;torus;1;3;5,709149;5;14,25679;0,3223512;0,08851846;0,05297137;-0,3053994;0,2046668
6;torus;1;3;5,723129;5;14,25679;0,1200162;0,02070938;0,02340385;-0,115876;0,2028661
6;torus;1;3;5,737076;5;14,25679;0,1200162;0,02070938;0,02340385;-0,115876;0,2028661
6;torus;1;3;5,750851;5;14,25679;0,1482248;0,01523047;0,04359854;-0,1408467;0,2009187
6;torus;1;3;5,765167;5;14,25679;0,1664126;0,03274308;0,0572024;-0,1528036;0,1987637
6;torus;1;3;5,778728;5;14,25679;0,1664126;0,03274308;0,0572024;-0,1528036;0,1981221
6;torus;1;3;5,792717;5;14,25679;0,1504652;-0,0003705068;0,08477266;-0,124311;0,1953492
6;torus;1;3;5,806725;5;14,25679;0,06257831;-0,01937462;0,0179425;-0,0567339;0,1971368
6;torus;1;3;5,820746;5;14,25679;0,06468576;-0,002331304;0,007964308;-0,06415125;0,1962746
6;torus;1;3;5,834467;5;14,25679;0,06468576;-0,002331304;0,007964308;-0,06415125;0,1962746
6;torus;1;3;5,848542;5;14,25679;0,2077353;0,04510721;0,05766552;-0,1944067;0,1934841
6;torus;1;3;5,862764;5;14,25679;0,1059439;0,01166199;0,04841221;-0,09351131;0,1893127
6;torus;1;3;5,876561;5;14,25679;0,1059439;0,01166199;0,04841221;-0,09351131;0,1893127
6;torus;1;3;5,890188;5;14,25679;0,1219292;-0,003785195;0,06143571;-0,1052524;0,1870734
6;torus;1;3;5,904068;5;14,25679;0,1251228;0,01845656;0,0241795;-0,121369;0,1848764
6;torus;1;3;5,917913;5;14,25679;0,1251228;0,01845656;0,0241795;-0,121369;0,1848764
6;torus;1;3;5,931938;5;14,25679;0,157577;0,01867086;0,006361101;-0,1563376;0,182385
6;torus;1;3;5,94593;5;14,25679;0,1004926;0,001790496;-0,0190218;-0,09865968;0,1811679
6;torus;1;3;5,95984;5;14,25679;0,1004926;0,001790496;-0,0190218;-0,09865968;0,1811679
6;torus;1;3;5,974112;5;14,25679;0,1074871;-0,003286447;0,02881517;-0,1035006;0,1793598
6;torus;1;3;5,98772;5;14,25679;0,06602763;-0,01338552;0,02903051;-0,05777288;0,1782831
6;torus;1;3;6,001675;5;14,25679;0,03830768;-0,02040691;0,01835031;-0,02672644;0,1778315
6;torus;1;3;6,015609;5;14,25679;0,03830768;-0,02040691;0,01835031;-0,02672644;0,1778315
6;torus;1;3;6,029497;5;14,25679;0,07473465;-0,04771033;0,04294179;-0,03827525;0,1771285
6;torus;1;3;6,043349;5;14,25679;0,05506209;-0,03641913;0,03161321;-0,02657227;0,1766498
6;torus;1;3;6,057305;5;14,25679;0,05506209;-0,03641913;0,03161321;-0,02657227;0,1766498
6;torus;1;3;6,071252;5;14,25679;0,07570737;-0,05306516;0,02498495;-0,04786906;0,1760814
6;torus;1;3;6,085135;5;14,25679;0,04416407;-0,03820144;0,01160554;-0,01887927;0,1759745
6;torus;1;3;6,09925;5;14,25679;0,04416407;-0,03820144;0,01160554;-0,01887927;0,1808538
6;torus;1;3;6,112842;5;14,25679;0,04633729;-0,03632498;-0,003059515;-0,02860558;0,1800834
6;torus;1;3;6,127059;5;14,25679;0,07269569;-0,01275153;-0,01559689;-0,0698484;0,1791302
6;torus;1;3;6,140715;5;14,25679;0,127536;0,02094672;0,01170189;-0,1252586;0,173152
6;torus;1;3;6,15498;5;14,25679;0,127536;0,02094672;0,01170189;-0,1252586;0,173152
6;torus;1;3;6,168697;5;14,25679;0,1614476;0,03524487;0,01506397;-0,1568317;0,1705285
6;torus;1;3;6,182549;5;14,25679;0,1436643;0,03161318;-0,01713966;-0,1390908;0,1685922
6;torus;1;3;6,19666;5;14,25679;0,1436643;0,03161318;-0,01713966;-0,1390908;0,1685922
6;torus;1;3;6,210254;5;14,25679;0,1848944;0,04081342;-0,04402133;-0,174878;0,1664704
6;torus;1;3;6,224222;5;14,25679;0,1254132;0,02839263;-0,006559464;-0,1219807;0,1647156
6;torus;1;3;6,23815;5;14,25679;0,1254132;0,02839263;-0,006559464;-0,1219807;0,1647156
6;torus;1;3;6,251993;5;14,25679;0,1541837;0,03856696;-0,002931074;-0,1492536;0,1624983
6;torus;1;3;6,266221;5;14,25679;0,1222017;0,02942617;-0,0003382075;-0,1186054;0,1607406
6;torus;1;3;6,280435;5;14,25679;0,1311087;0,03510883;0,0246898;-0,1238841;0,1589048
6;torus;1;3;6,293961;5;14,25679;0,1311087;0,03510883;0,0246898;-0,1238841;0,1589048
6;torus;1;3;6,307948;5;14,25679;0,21254;0,06805908;0,04723361;-0,1957299;0,1550872
6;torus;1;3;6,32173;5;14,25679;0,1914726;0,0632945;0,05186541;-0,1731056;0,1515813
6;torus;1;3;6,335756;5;14,25679;0,1914726;0,0632945;0,05186541;-0,1731056;0,1515813
6;torus;1;3;6,349598;5;14,25679;0,2225322;0,08315684;0,05995938;-0,1975105;0,1475014
6;torus;1;3;6,363695;5;14,25679;0,2500266;0,09869673;0,04662237;-0,2249413;0,1431229
6;torus;1;3;6,377706;5;14,25679;0,2500266;0,09869673;0,04662237;-0,2249413;0,1431229
6;torus;1;3;6,391311;5;14,25679;0,1727826;0,06864507;0,02173617;-0,1570644;0,1402313
6;torus;1;3;6,405219;5;14,25679;0,1371436;0,05447958;0,006975582;-0,125665;0,1380756
6;torus;1;3;6,419855;5;14,25679;0,1371436;0,05447958;0,006975582;-0,125665;0,1380756
6;torus;1;3;6,433109;5;14,25679;0,2115544;0,0887757;0,01654799;-0,1913121;0,134709
6;torus;1;3;6,447104;5;14,25679;0,2229344;0,09543182;0,01433947;-0,2009649;0,1246624
6;torus;1;3;6,460975;5;14,25679;0,1604322;0,06925416;0,01200488;-0,144216;0,1220748
6;torus;1;3;6,47535;5;14,25679;0,1604322;0,06925416;0,01200488;-0,144216;0,1265651
6;torus;1;3;6,488946;5;14,25679;0,1451284;0,06263556;0,02595452;-0,1283176;0,1240678
6;torus;1;3;6,50294;5;14,25679;0,1534884;0,06604454;0,03243964;-0,1347014;0,1213962
6;torus;1;3;6,517204;5;14,25679;0,1534884;0,06604454;0,03243964;-0,1347014;0,1213962
6;torus;1;3;6,530822;5;14,25679;0,1073976;0,04620623;0,009676624;-0,09646554;0,119681
6;torus;1;3;6,544631;5;14,25679;0,1169068;0,0499037;0,01581502;-0,1045308;0,1177699
6;torus;1;3;6,558751;5;14,25679;0,1169068;0,0499037;0,01581502;-0,1045308;0,1177699
6;torus;1;3;6,57263;5;14,25679;0,1252932;0,05257238;0,01904286;-0,1121245;0,1157188
6;torus;1;3;6,586401;5;14,25679;0,1128891;0,04686262;0,008917479;-0,1023148;0,1139877
6;torus;1;3;6,60032;5;14,25679;0,10689;0,04371868;0,006556442;-0,09731993;0,1182368
6;torus;1;3;6,614339;5;14,25679;0,10689;0,04371868;0,006556442;-0,09731993;0,1182368
6;torus;1;3;6,628181;5;14,25679;0,09325144;0,03657855;0,005912654;-0,08557384;0,1167873
6;torus;1;3;6,64213;5;14,25679;0,09241625;0,03523768;0,00309778;-0,08537841;0,1154014
6;torus;1;3;6,655891;5;14,25679;0,09241625;0,03523768;0,00309778;-0,08537841;0,1154014
6;torus;1;3;6,669825;5;14,25679;0,09544738;0,0340598;-0,003202794;-0,08910598;0,1140799
6;torus;1;3;6,683718;5;14,25679;0,09040117;0,03126611;-0,001889208;-0,08480113;0,1128325
6;torus;1;3;6,697874;5;14,25679;0,09040117;0,03126611;-0,001889208;-0,08480113;0,1086018
6;torus;1;3;6,711726;5;14,25679;0,08105682;0,02533135;-0,006671952;-0,07670734;0,1074331
6;torus;1;3;6,725623;5;14,25679;0,07983939;0,0234417;-0,009737373;-0,07569676;0,1063427
6;torus;1;3;6,739765;5;14,25679;0,07983939;0,0234417;-0,009737373;-0,07569676;0,1104702
6;torus;1;3;6,753678;5;14,25679;0,04574976;0,01036619;-0,01331183;-0,04252502;0,1099832
6;torus;1;3;6,767461;5;14,25679;0,04667789;0,009555808;-0,01610947;-0,04275507;0,1095404
6;torus;1;3;6,781188;5;14,25679;0,04769499;0,008251785;-0,02013898;-0,04243986;0,1091698
6;torus;1;3;6,795487;5;14,25679;0,04769499;0,008251785;-0,02013898;-0,04243986;0,1091698
6;torus;1;3;6,809203;5;14,25679;0,05196816;0,007904414;-0,02173929;-0,04653615;0,1087775
6;torus;1;3;6,822954;5;14,25679;0,05218103;0,007254785;-0,02219438;-0,04666517;0,1084038
6;torus;1;3;6,83707;5;14,25679;0,05218103;0,007254785;-0,02219438;-0,04666517;0,1084038
6;torus;1;3;6,850724;5;14,25679;0,06515336;0,009470518;-0,02354866;-0,06000609;0,1078708
6;torus;1;3;6,864694;5;14,25679;0,07103264;0,01122204;-0,02352002;-0,06607957;0,1072605
6;torus;1;3;6,879004;5;14,25679;0,07103264;0,01122204;-0,02352002;-0,06607957;0,1136437
6;torus;1;3;6,892831;5;14,25679;0,09541837;0,01629133;-0,02828595;-0,08966138;0,1126724
6;torus;1;3;6,906606;5;14,25679;0,09882749;0,0176059;-0,0267395;-0,09349815;0,1116451
6;torus;1;3;6,920358;5;14,25679;0,1038647;0,01949139;-0,02450948;-0,09903154;0,1105286
6;torus;1;3;6,934458;5;14,25679;0,1038647;0,01949139;-0,02450948;-0,09903154;0,1105286
6;torus;1;3;6,948473;5;14,25679;0,1310917;0,0282412;-0,0276018;-0,1250024;0,1090842
6;torus;1;3;6,962077;5;14,25679;0,1333347;0,02951738;-0,02793363;-0,1269904;0,1076538
6;torus;1;3;6,976255;5;14,25679;0,1333347;0,02951738;-0,02793363;-0,1269904;0,113955
6;torus;1;3;6,990086;5;14,25679;0,2143883;0,05349752;-0,03602307;-0,2044571;0,1113448
6;torus;1;3;7,004185;5;14,25679;0,2182553;0,05474545;-0,03113787;-0,2089707;0,1087028
6;torus;1;3;7,01892;5;14,25679;0,2182553;0,05474545;-0,03113787;-0,2089707;0,1081348
6;torus;1;3;7,031468;5;14,25679;0,2309336;0,03848283;-0,06001818;-0,2196525;0,1043527
6;torus;1;3;7,045826;5;14,25679;0,0991554;-0,04741663;-0,0160453;-0,08559209;0,1099921
6;torus;1;3;7,059446;5;14,25679;0,0991554;-0,04741663;-0,0160453;-0,08559209;0,1099921
6;torus;1;3;7,073731;5;14,25679;0,1511087;-0,03265266;-0,0299685;-0,1444629;0,108113
6;torus;1;3;7,087217;5;14,25679;0,1590765;-0,0210439;-0,02488821;-0,1557019;0,1064888
