ParticipantNumber;Task;SdfState;Repetition;TimeStamp;NumHits;TimeToCompleteTask;InstanteneousVelocityMag;InstanteneousVelocityX;InstanteneousVelocityY;InstanteneousVelocityZ;ClosestDistance
11;torus;0;5;5,950081;9;15,13358;0,3353615;-0,09390116;-0,2227649;0,2324343;0,7810671
11;torus;0;5;5,96384;9;15,13358;0,2666448;0,02544522;0,2600119;-0,05334616;0,7787617
11;torus;0;5;5,978073;9;15,13358;0,2666448;0,02544522;0,2600119;-0,05334616;0,7787617
11;torus;0;5;5,991529;9;15,13358;0,5568414;0,1122117;0,4369751;-0,326395;0,7703671
11;torus;0;5;6,005488;9;15,13358;0,2995379;0,07237196;0,1482144;-0,2500355;0,764835
11;torus;0;5;6,019648;9;15,13358;0,2995379;0,07237196;0,1482144;-0,2500355;0,764835
11;torus;0;5;6,03348;9;15,13358;0,9247206;0,2332509;0,5105674;-0,7348627;0,7482896
11;torus;0;5;6,047119;9;15,13358;0,1188635;0,01884103;0,01388937;-0,116536;0,7459645
11;torus;0;5;6,061181;9;15,13358;0,2439966;-0,06858706;-0,1702964;0,160715;0,7498329
11;torus;0;5;6,075052;9;15,13358;0,2439966;-0,06858706;-0,1702964;0,160715;0,7498329
11;torus;0;5;6,08897;9;15,13358;0,3154654;0,06546378;0,1551762;-0,2667457;0,7439646
11;torus;0;5;6,103141;9;15,13358;0,04129574;0,002038479;0,03292412;-0,02484322;0,7433339
11;torus;0;5;6,117437;9;15,13358;0,04129574;0,002038479;0,03292412;-0,02484322;0,7433339
11;torus;0;5;6,130956;9;15,13358;0,189036;-0,009864569;0,1831487;0,04575849;0,7434116
11;torus;0;5;6,144727;9;15,13358;0,2219141;0,03702044;0,007623434;-0,2186716;0,739129
11;torus;0;5;6,158707;9;15,13358;0,2219141;0,03702044;0,007623434;-0,2186716;0,739129
11;torus;0;5;6,172678;9;15,13358;0,333747;0,05695224;0,08237958;-0,3183663;0,7325845
11;torus;0;5;6,18665;9;15,13358;0,0317409;-0,01661777;0,01595765;0,02183318;0,7329323
11;torus;0;5;6,200494;9;15,13358;0,09805148;0,001114607;0,0875771;-0,04408062;0,731691
11;torus;0;5;6,214873;9;15,13358;0,09805148;0,001114607;0,0875771;-0,04408062;0,731691
11;torus;0;5;6,228507;9;15,13358;0,123484;-0,03262162;0,1137674;0,03522933;0,7318732
11;torus;0;5;6,242323;9;15,13358;0,1310323;-0,005483627;0,1264945;-0,03374219;0,7306744
11;torus;0;5;6,256187;9;15,13358;0,1310323;-0,005483627;0,1264945;-0,03374219;0,7306744
11;torus;0;5;6,270215;9;15,13358;0,3260144;0,02804399;0,2185658;-0,2402663;0,7250784
11;torus;0;5;6,284124;9;15,13358;0,1601389;0,01118779;0,1067773;-0,1188189;0,7223207
11;torus;0;5;6,298103;9;15,13358;0,1601389;0,01118779;0,1067773;-0,1188189;0,7223207
11;torus;0;5;6,311944;9;15,13358;0,749666;0,02595186;0,748153;-0,03990829;0,7186453
11;torus;0;5;6,32584;9;15,13358;0,1620992;-0,02442002;0,1478016;0,06192327;0,7193118
11;torus;0;5;6,3401;9;15,13358;0,1152302;-0,0115335;0,1105875;-0,03025532;0,7183158
