ParticipantNumber;Task;SdfState;Repetition;TimeStamp;NumHits;TimeToCompleteTask;InstanteneousVelocityMag;InstanteneousVelocityX;InstanteneousVelocityY;InstanteneousVelocityZ;ClosestDistance
3;complexWire;1;2;4,837225;51;34,66588;0,502526;0,1306137;0,1837537;0,449118;0,08181921
3;complexWire;1;2;4,865256;51;34,66588;0,005064924;0,005052891;-0,0002547691;0,0002384186;0,07362442
3;complexWire;1;2;4,893114;51;34,66588;0,595568;0,1625101;-0,01877521;0,5726597;0,05739272
3;complexWire;1;2;4,920825;51;34,66588;0,08050025;0,02574944;-0,0398788;0,06501491;0,06066274
3;complexWire;1;2;4,948495;51;34,66588;0,4783969;0,1279247;-0,2339662;0,3971885;0,05855985
3;complexWire;1;2;4,964;51;34,66588;0,184691;0,04799627;-0,09906586;0,1483006;0,05667279
3;complexWire;1;2;4,990437;51;34,66588;0,3044387;0,07806052;0,03841348;0,2917428;0,05509746
3;complexWire;1;2;5,018643;51;34,66588;0,4987718;0,1318483;-0,08960761;0,4726096;0,04995931
3;complexWire;1;2;5,045938;51;34,66588;0,2194377;0,06071318;-0,06603745;0,2002645;0,0524116
3;complexWire;1;2;5,073719;51;34,66588;0,3434826;0,08407591;0,01388749;0,3327442;0,05447005
3;complexWire;1;2;5,101838;51;34,66588;0,1251936;0,02954929;0,01737894;0,1204086;0,05630468
3;complexWire;1;2;5,129741;51;34,66588;0,1648891;0,02587339;0,09823985;0,1298765;0,05712789
3;complexWire;1;2;5,157705;51;34,66588;0,1846041;0,02950106;0,1107958;0,1446812;0,05758088
3;complexWire;1;2;5,18513;51;34,66588;0,1083336;0,02481641;0,01817346;0,1038751;0,05943492
3;complexWire;1;2;5,212979;51;34,66588;0,1521693;0,03622955;-0,003368384;0,1477551;0,06256399
3;complexWire;1;2;5,24126;51;34,66588;0,1249338;0,02718017;0,04887315;0,1117189;0,06330191
3;complexWire;1;2;5,269172;51;34,66588;0,2540002;0,04984684;0,1057788;0,2254823;0,07015295
3;complexWire;1;2;5,296814;51;34,66588;0,2995005;0,04554748;0,1849225;0,2311486;0,07552541
3;complexWire;1;2;5,324918;51;34,66588;0,2818682;0,04773814;0,1702;0,2195511;0,07106677
3;complexWire;1;2;5,352584;51;34,66588;0,3436292;0,05389692;0,2037901;0,2713776;0,07258558
3;complexWire;1;2;5,380408;51;34,66588;0,2669519;0,04316141;0,1577047;0,2110204;0,07557779
3;complexWire;1;2;5,408016;51;34,66588;0,3586284;0,07322851;0,1196745;0,3300453;0,09948044
3;complexWire;1;2;5,424382;51;34,66588;0,2461368;0,06043272;-0,02754242;0,2370076;0,09484068
3;complexWire;1;2;5,449577;51;34,66588;0,2121712;0,05296256;-0,03471477;0,2025005;0,09930174
3;complexWire;1;2;5,465635;51;34,66588;0,211216;0,04725976;0,03511969;0,2028431;0,09565444
3;complexWire;1;2;5,490976;51;34,66588;0,2780911;0,04347908;0,1545906;0,2270374;0,0791536
3;complexWire;1;2;5,506968;51;34,66588;0,3131078;0,05516345;0,1360319;0,2765661;0,08124596
3;complexWire;1;2;5,533292;51;34,66588;0,31927;0,05767125;0,1251688;0,2879933;0,08031806
3;complexWire;1;2;5,560993;51;34,66588;0,2706082;0,04160891;0,1385483;0,228696;0,1054919
3;complexWire;1;2;5,577265;51;34,66588;0,2706082;0,04160891;0,1385483;0,228696;0,108941
3;complexWire;1;2;5,60228;51;34,66588;0,1756865;-0,05195363;0,08040208;0,1473162;0,1050423
3;complexWire;1;2;5,630825;51;34,66588;0,2059569;-0,06978453;0,1225013;0,1501393;0,1073064
3;complexWire;1;2;5,65879;51;34,66588;0,2207622;-0,08893508;0,1405481;0,1451645;0,09263046
3;complexWire;1;2;5,686531;51;34,66588;0,2310932;-0,0836807;0,1539583;0,1506602;0,07806336
3;complexWire;1;2;5,714746;51;34,66588;1,06166;0,1804414;0,9375857;0,4642164;0,1190721
3;complexWire;1;2;5,742214;51;34,66588;0,1734857;-0,111407;0,1085591;0,07681605;0,1097766
3;complexWire;1;2;5,77026;51;34,66588;0,1701208;-0,06277963;0,1551791;0,03031874;0,1094261
3;complexWire;1;2;5,798374;51;34,66588;0,2985775;-0,1469673;0,2587655;0,02428125;0,1137407
3;complexWire;1;2;5,826134;51;34,66588;0,2402135;-0,09885897;0,2070733;0,07106385;0,1054784
3;complexWire;1;2;5,854163;51;34,66588;0,1844948;-0,04879522;0,1512979;0,09362862;0,1134103
3;complexWire;1;2;5,88232;51;34,66588;0,03292093;-0,004985213;0,008384645;0,03144254;0,1151373
3;complexWire;1;2;5,909576;51;34,66588;0,05180223;-0,02734178;0,007645279;0,04332953;0,1156459
3;complexWire;1;2;5,93716;51;34,66588;0,05563193;-0,03792797;0,009447813;0,03958686;0,1157119
3;complexWire;1;2;5,96509;51;34,66588;0,03385261;-0,01837035;0,002910614;0,02828529;0,1078511
3;complexWire;1;2;5,993201;51;34,66588;0,06387915;-0,03454615;0,01337743;0,05203992;0,1156236
3;complexWire;1;2;6,02129;51;34,66588;0,02466985;-0,005766347;-0,01215589;0,02067813;0,1159294
3;complexWire;1;2;6,048804;51;34,66588;0,05457512;-0,01028138;0,0005559921;0,05359504;0,1157807
3;complexWire;1;2;6,076929;51;34,66588;0,07394549;-0,01577342;-0,0222438;0,0687339;0,1160116
3;complexWire;1;2;6,10495;51;34,66588;0,05678434;-4,713982E-05;0,01311058;0,05525008;0,1161942
3;complexWire;1;2;6,132638;51;34,66588;0,0608115;-0,01923262;-0,001607656;0,05766767;0,1167407
3;complexWire;1;2;6,160483;51;34,66588;0,02886987;-0,008701973;0,001493096;0,02748665;0,109458
3;complexWire;1;2;6,188171;51;34,66588;0,06111414;-0,04858468;0,01470721;0,03403181;0,1094366
3;complexWire;1;2;6,216341;51;34,66588;0,02959389;0,005888648;0,02747703;0,00928092;0,1096247
3;complexWire;1;2;6,244318;51;34,66588;0,009230083;-0,005713023;0,007019639;0,001811206;0,1098009
