ParticipantNumber;Task;SdfState;Repetition;TimeStamp;NumHits;TimeToCompleteTask;InstanteneousVelocityMag;InstanteneousVelocityX;InstanteneousVelocityY;InstanteneousVelocityZ;ClosestDistance
5;complexWire;1;3;4,223569;53;29,76819;1,065968;0,2270601;0,09158242;1,03747;0,3282134
5;complexWire;1;3;4,237429;53;29,76819;1,065968;0,2270601;0,09158242;1,03747;0,3268202
5;complexWire;1;3;4,251332;53;29,76819;1,665994;0,7226644;0,145267;1,494051;0,3189227
5;complexWire;1;3;4,265271;53;29,76819;0,7108233;0,09438042;0,667651;0,2249539;0,307995
5;complexWire;1;3;4,279311;53;29,76819;0,7108233;0,09438042;0,667651;0,2249539;0,2987291
5;complexWire;1;3;4,293254;53;29,76819;1,769734;0,1231544;1,749718;0,2351135;0,2755179
5;complexWire;1;3;4,306999;53;29,76819;0,5389743;0,02958663;0,5328357;0,07552505;0,258591
5;complexWire;1;3;4,321078;53;29,76819;0,6259294;-0,03752243;0,6086797;-0,1410276;0,2510254
5;complexWire;1;3;4,334728;53;29,76819;0,6259294;-0,03752243;0,6086797;-0,1410276;0,2427439
5;complexWire;1;3;4,348676;53;29,76819;1,344803;-0,1348834;1,267274;-0,4293233;0,2286591
5;complexWire;1;3;4,362468;53;29,76819;0,3193688;-0,0281211;0,3162391;-0,03461838;0,2138045
5;complexWire;1;3;4,376748;53;29,76819;0,3193688;-0,0281211;0,3162391;-0,03461838;0,2092653
5;complexWire;1;3;4,390443;53;29,76819;0,8750046;0,04121847;0,8366808;0,2527833;0,1993198
5;complexWire;1;3;4,404511;53;29,76819;0,6602951;-0,04808642;0,6464571;-0,125581;0,1883429
5;complexWire;1;3;4,418722;53;29,76819;0,6602951;-0,04808642;0,6464571;-0,125581;0,1794007
5;complexWire;1;3;4,432349;53;29,76819;0,8270052;-0,07350822;0,8125311;-0,1353787;0,1687867
5;complexWire;1;3;4,446492;53;29,76819;0,353887;-0,01658105;0,353496;0,001294877;0,160483
5;complexWire;1;3;4,460354;53;29,76819;0,3966276;0,008672501;0,3844291;0,09722402;0,1556532
5;complexWire;1;3;4,474412;53;29,76819;0,3966276;0,008672501;0,3844291;0,09722402;0,1501748
5;complexWire;1;3;4,48802;53;29,76819;0,5583153;0,1202939;0,2096269;0,5032911;0,1459163
5;complexWire;1;3;4,501826;53;29,76819;0,1938854;0,04768151;-0,06404093;0,1766827;0,1431018
5;complexWire;1;3;4,515987;53;29,76819;0,1938854;0,04768151;-0,06404093;0,1766827;0,1438708
