ParticipantNumber;Task;SdfState;Repetition;TimeStamp;NumHits;TimeToCompleteTask;InstanteneousVelocityMag;InstanteneousVelocityX;InstanteneousVelocityY;InstanteneousVelocityZ;ClosestDistance
14;complexWire;0;4;4,211998;9;41,61458;0,8933098;-0,05449052;0,8264445;-0,334698;1,000244
14;complexWire;0;4;4,225903;9;41,61458;0,2664563;-0,07537734;-0,1805365;0,1808971;1,00038
14;complexWire;0;4;4,239826;9;41,61458;0,2664563;-0,07537734;-0,1805365;0,1808971;0,9985576
14;complexWire;0;4;4,253746;9;41,61458;0,5239058;-0,1765317;0,3099047;-0,3837615;1,002563
14;complexWire;0;4;4,267621;9;41,61458;0,4647471;-0,1869819;-0,1653656;-0,3920227;1,007593
14;complexWire;0;4;4,281744;9;41,61458;0,2462584;-0,06557007;-0,08453131;0,2218068;1,012432
14;complexWire;0;4;4,295466;9;41,61458;0,2462584;-0,06557007;-0,08453131;0,2218068;1,009756
14;complexWire;0;4;4,309318;9;41,61458;1,064834;0,03558278;1,025818;0,2833784;1,003977
14;complexWire;0;4;4,323564;9;41,61458;0,2117904;-0,07135857;0,1850978;-0,074175;0,9985526
14;complexWire;0;4;4,337492;9;41,61458;0,2117904;-0,07135857;0,1850978;-0,074175;0,9989441
14;complexWire;0;4;4,35136;9;41,61458;0,899165;-0,06610988;0,8928001;-0,08387566;0,997681
14;complexWire;0;4;4,365205;9;41,61458;0,6262611;-0,05981296;0,5763032;-0,2376974;0,9973207
14;complexWire;0;4;4,378833;9;41,61458;0,6262611;-0,05981296;0,5763032;-0,2376974;0,9989003
14;complexWire;0;4;4,393165;9;41,61458;0,5076916;-0,2190963;-0,4389361;0,1307011;0,9985078
14;complexWire;0;4;4,407073;9;41,61458;0,3341178;-0,08471616;-0,2630301;0,1878113;0,9973396
14;complexWire;0;4;4,420594;9;41,61458;0,1306798;-0,05075214;0,05469844;0,1072824;0,9956224
14;complexWire;0;4;4,434553;9;41,61458;0,1306798;-0,05075214;0,05469844;0,1072824;0,9940016
14;complexWire;0;4;4,448535;9;41,61458;0,7154269;-0,1362056;0,6613471;-0,2364397;0,9941675
