ParticipantNumber;Task;SdfState;Repetition;TimeStamp;NumHits;TimeToCompleteTask;InstanteneousVelocityMag;InstanteneousVelocityX;InstanteneousVelocityY;InstanteneousVelocityZ;ClosestDistance
16;complexWire;1;4;4,349298;45;63,02649;0,2757437;0,08094069;0,194354;0,1780722;0,1663447
16;complexWire;1;4;4,363554;45;63,02649;0,2838834;-0,04919866;0,2394099;-0,1444028;0,1633801
16;complexWire;1;4;4,3771;45;63,02649;0,2838834;-0,04919866;0,2394099;-0,1444028;0,1614863
16;complexWire;1;4;4,391441;45;63,02649;0,5387285;-0,113088;0,4460545;-0,2801337;0,1581994
16;complexWire;1;4;4,405006;45;63,02649;0,1714958;0,02446773;-0,1228463;0,1171364;0,1563309
16;complexWire;1;4;4,419065;45;63,02649;0,1714958;0,02446773;-0,1228463;0,1171364;0,1568352
16;complexWire;1;4;4,433241;45;63,02649;0,7105801;0,2183849;-0,26635;0,6215222;0,1562961
16;complexWire;1;4;4,4469;45;63,02649;0,3156273;0,1123788;0,008487873;0,2948212;0,1554886
16;complexWire;1;4;4,460725;45;63,02649;0,1789706;0,04316767;0,1283479;0,1170208;0,1540791
16;complexWire;1;4;4,474658;45;63,02649;0,1789706;0,04316767;0,1283479;0,1170208;0,1520869
16;complexWire;1;4;4,488665;45;63,02649;0,6057877;-0,07422649;0,5684173;-0,195885;0,1477485
16;complexWire;1;4;4,502742;45;63,02649;0,3281271;-0,04216918;0,3102349;-0,09820116;0,1426009
16;complexWire;1;4;4,516436;45;63,02649;0,3281271;-0,04216918;0,3102349;-0,09820116;0,1396064
16;complexWire;1;4;4,530446;45;63,02649;0,129795;-0,01129841;0,127821;-0,01951618;0,1377969
16;complexWire;1;4;4,544609;45;63,02649;0,07240061;0,02483332;0,01931456;0,06520815;0,1366593
16;complexWire;1;4;4,558324;45;63,02649;0,07240061;0,02483332;0,01931456;0,06520815;0,1360998
16;complexWire;1;4;4,572477;45;63,02649;0,2595235;0,08577893;0,004758237;0,2448914;0,1348164
16;complexWire;1;4;4,586306;45;63,02649;0,1459207;0,04778787;0,04670599;0,1297217;0,133604
16;complexWire;1;4;4,600039;45;63,02649;0,08909037;-2,759671E-06;0,088957;0,004873078;0,1325054
16;complexWire;1;4;4,614253;45;63,02649;0,08909037;-2,759671E-06;0,088957;0,004873078;0,1314564
16;complexWire;1;4;4,627834;45;63,02649;0,3119538;0,005122828;0,311379;0,01822186;0,1289998
16;complexWire;1;4;4,641853;45;63,02649;0,1970582;0,03127423;0,1775292;0,07960698;0,1255599
